rgbFogoMedio,rgbFumacaMedio,qtdMovimentoFogo,qtdMovimentoFumaca,tamanhoFogo,tamamnhoFumaca,temFogo
345,323,0,230,0,7621,true
350,321,0,91,0,7864,true
357,321,0,43,0,7665,true
348,320,0,264,0,8128,true
221,322,0,252,0,7917,true
230,316,0,436,0,8565,true
178,316,0,533,0,8450,true
142,314,0,149,0,8714,true
90,315,0,291,0,8158,true
113,313,0,271,0,8986,true
136,312,0,882,0,9041,true
83,310,0,440,0,9426,true
296,312,0,105,0,8935,true
286,304,342,258,342,9684,true
195,304,0,586,0,9522,true
179,300,27,339,369,10024,true
336,303,354,218,354,9304,true
325,302,29,397,399,9627,true
42,42,22,0,3049,0,true
42,42,35,0,3049,0,true
48,42,28,0,3020,0,true
37,42,2,0,3052,0,true
23,47,8,0,3029,0,true
88,48,6,0,3058,0,true
51,51,17,0,3011,0,true
61,59,39,0,3019,0,true
60,60,1995,0,1015,0,true
35,61,2598,0,421,0,true
42,66,621,0,394,0,true
38,64,46,0,374,0,true
32,73,2,0,397,0,true
24,87,374,0,0,0,true
96,96,397,0,0,0,true
65,96,405,0,405,0,true
113,113,0,0,0,0,true
71,115,405,0,0,0,true
157,157,0,0,0,0,false
150,150,0,0,0,0,false
161,161,0,0,0,0,false
137,137,0,0,0,0,false
128,128,0,0,0,0,false
140,140,0,0,0,0,false
193,193,0,0,0,0,false
201,201,0,0,0,0,false
187,187,0,0,0,0,false
174,174,0,0,0,0,false
204,204,0,0,0,0,false
195,195,0,0,0,0,false
182,182,0,0,0,0,false
195,195,0,0,0,0,false
175,175,0,0,0,0,false
156,156,0,0,0,0,false
199,199,0,0,0,0,false
170,170,0,0,0,0,false
153,210,127,526,810,10932,true
143,208,74,405,757,10797,true
160,225,11,21,821,10954,true
137,229,38,536,719,10260,true
165,226,16,45,838,10908,true
146,228,70,420,789,10681,true
139,209,32,182,805,10726,true
149,195,74,509,714,10172,true
157,195,64,107,870,10833,true
148,200,121,399,836,10571,true
155,204,1,158,871,10675,true
155,205,96,689,739,9881,true
166,206,39,136,911,10539,true
162,206,134,336,874,10218,true
159,206,9,168,920,10370,true
150,206,116,541,758,9677,true
164,209,40,51,960,10318,true
168,208,166,414,924,10091,true
123,154,737,217,6369,844,false
85,141,161,78,6401,841,false
159,114,312,101,6057,743,false
180,123,348,80,6749,921,false
114,131,604,136,6661,880,false
162,80,440,42,7190,879,false
150,132,192,85,6469,794,false
135,172,86,58,7276,937,false
178,136,836,113,7305,907,false
157,166,74,78,7202,858,false
137,196,672,142,6633,765,false
164,137,423,73,7625,932,false
209,154,940,191,7574,956,false
128,155,26,53,7651,986,false
133,218,576,63,6997,893,false
138,187,114,16,7766,1002,false
137,153,815,63,7813,956,false
75,123,103,32,7662,970,false
102,405,0,10,0,352,false
92,405,0,16,0,349,false
100,405,0,16,0,335,false
102,405,0,3,0,346,false
95,405,0,1,0,334,false
107,405,0,346,0,0,false
104,405,0,334,0,0,false
100,405,0,0,0,0,false
110,406,0,0,0,0,false
109,406,0,0,0,0,false
101,405,0,0,0,0,false
97,403,0,0,0,0,false
101,402,0,0,0,0,false
100,401,0,0,0,0,false
100,405,0,0,0,0,false
132,406,0,0,0,0,false
132,405,0,0,0,0,false
132,405,0,0,0,0,false
30,194,114,0,938,0,true
50,202,46,0,994,0,true
222,196,32,0,906,0,true
28,213,69,0,925,0,true
30,196,130,0,1037,0,true
31,200,17,0,942,0,true
32,220,54,0,1091,0,true
33,222,123,0,1066,0,true
30,221,18,0,1073,0,true
32,221,103,0,962,0,true
30,232,70,0,1144,0,true
33,234,162,0,1124,0,true
34,259,17,0,1161,0,true
30,251,93,0,1031,0,true
32,256,40,0,1201,0,true
37,264,129,0,1160,0,true
32,98,13,0,1188,0,true
27,105,96,0,1063,0,true
124,124,0,0,0,0,false
155,155,0,0,0,0,false
166,166,0,0,0,0,false
154,315,0,0,0,0,false
85,242,0,0,0,0,false
91,211,0,0,0,0,false
135,308,0,0,0,0,false
167,231,0,0,0,0,false
187,235,0,0,0,0,false
197,242,0,0,0,0,false
201,271,0,0,0,0,false
214,236,0,0,0,0,false
243,292,0,0,0,0,false
235,251,0,0,0,0,false
251,289,0,0,0,0,false
285,301,0,0,0,0,false
295,255,0,0,0,0,false
210,248,0,0,0,0,false
60,130,137,59,7476,1355,false
115,120,172,72,8102,1460,false
104,103,349,20,7826,1375,false
62,100,81,63,8020,1396,false
52,127,489,64,7337,1310,false
52,116,96,44,8117,1441,false
38,144,448,71,7785,1381,false
34,125,174,54,7943,1386,false
55,110,470,101,7315,1280,false
31,103,344,80,7598,1306,false
44,79,294,83,7609,1363,false
52,99,363,120,7961,1426,false
63,66,268,53,7341,1309,false
35,111,45,20,8007,1447,false
37,100,423,97,7764,1407,false
57,65,89,75,7917,1372,false
69,50,414,115,7349,1292,false
68,110,76,10,7993,1382,false
143,237,79,148,2803,7371,true
160,239,185,182,3099,7684,true
181,238,194,241,2998,7612,true
218,238,124,75,3223,7759,true
151,236,62,306,2936,7305,true
255,239,70,127,3294,7886,true
269,238,168,500,3104,7805,true
201,235,139,42,3155,7843,true
176,236,218,275,2886,7530,true
264,238,12,39,3167,7804,true
244,239,28,175,2914,7705,true
263,241,5,102,3172,7907,true
255,244,36,77,2950,7628,true
210,242,429,469,3601,8376,true
201,241,302,506,3253,8134,true
205,241,277,187,3324,8188,true
233,242,298,419,2955,7715,true
234,243,264,154,3589,8343,true
95,141,24,595,597,9565,true
86,129,6,149,592,9472,true
119,123,22,477,575,9087,true
118,124,20,378,572,9094,true
93,132,55,775,630,9863,true
93,127,58,663,631,9757,true
117,131,11,274,619,9589,true
87,137,38,794,592,8963,true
113,125,2,158,621,9430,true
97,137,56,809,648,9773,true
93,130,28,271,649,9702,true
90,125,57,606,591,9166,true
112,132,11,273,637,9975,true
88,124,36,753,627,9919,true
88,116,14,243,623,9732,true
77,122,38,682,589,9237,true
98,114,10,102,613,9834,true
92,113,27,826,616,10064,true
302,313,0,25,0,11769,false
303,313,0,444,0,11582,false
303,313,0,690,0,11079,false
303,312,0,294,0,11288,false
303,315,0,365,0,10714,false
303,313,0,10,0,11298,false
303,315,0,212,0,10926,false
303,315,0,204,0,11094,false
303,317,0,73,0,10852,false
302,318,0,350,0,10744,false
302,315,0,221,0,11074,false
302,313,0,527,0,11271,false
302,315,0,198,0,10876,false
302,313,0,0,0,11271,false
302,316,0,92,0,10968,false
302,313,0,30,0,11302,false
302,315,0,82,0,10886,false
302,315,0,27,0,11275,false
287,315,0,1469,0,39352,true
286,318,0,7066,0,34223,true
288,315,0,2744,0,36608,true
289,315,0,5835,0,40058,true
294,313,0,1711,0,38319,true
293,312,0,2734,0,37323,true
298,319,0,4781,0,33538,true
298,318,0,3649,0,33674,true
298,314,0,3377,0,36915,true
298,314,0,2836,0,36510,true
295,318,0,4843,0,32072,true
296,313,0,864,0,37374,true
293,314,0,3266,0,35338,true
293,314,0,3711,0,33663,true
291,314,0,1437,0,33901,true
294,314,0,2023,0,35686,true
289,319,0,2345,0,31555,true
289,314,0,789,0,36476,true
36,20,0,0,0,0,false
34,47,0,0,0,0,false
34,61,0,0,0,0,false
34,47,0,0,0,0,false
34,351,0,0,0,0,false
34,352,0,0,0,0,false
34,47,0,0,0,0,false
34,147,0,0,0,0,false
34,272,0,0,0,0,false
34,283,0,0,0,0,false
34,349,0,0,0,0,false
34,316,0,0,0,0,false
34,211,0,0,0,0,false
34,45,0,0,0,0,false
34,53,0,0,0,0,false
34,92,0,0,0,0,false
34,100,0,0,0,0,false
34,64,0,0,0,0,false
288,246,97,0,669,0,false
313,260,49,0,704,0,false
280,295,91,0,578,0,false
220,282,16,0,687,0,false
207,232,109,0,687,0,false
315,177,24,0,711,0,false
250,206,90,0,596,0,false
214,184,8,0,719,0,false
