rgbFogoR,rgbFogoG,rgbFogoB,rgbFumacaR,rgbFumacaG,rgbFumacaB,qtdMovimentoFogo,qtdMovimentoFumaca,tamanhoFogo,tamamnhoFumaca,temFogo
204,206,217,193,192,195,70,692,437,22864,true
209,211,211,192,191,194,16,274,462,23592,true
214,214,214,192,191,194,14,131,451,22995,true
209,209,208,192,191,193,72,794,534,24386,true
136,139,115,193,192,194,85,756,536,23751,true
141,144,120,189,189,189,70,1309,604,25695,true
112,116,80,189,189,189,85,1599,621,25350,true
90,93,62,188,188,188,102,448,706,26143,true
58,58,39,189,188,189,39,874,660,24476,true
73,75,45,188,188,188,68,815,774,26958,true
86,86,64,187,187,187,142,2648,802,27124,true
54,55,31,186,186,186,144,1322,918,28280,true
185,175,159,187,187,187,97,317,899,26807,true
179,170,152,182,181,183,110,774,1028,29054,true
126,138,69,182,181,184,96,1760,995,28567,true
115,130,59,180,180,180,81,1019,1109,30073,true
205,199,196,181,181,182,69,654,1064,27913,true
197,192,191,181,181,181,89,1191,1198,28882,true
40,7,0,0,0,0,66,0,9148,0,true
40,7,0,0,0,0,107,0,9149,0,true
42,9,8,0,0,0,86,0,9062,0,true
34,3,4,0,0,0,7,0,9156,0,true
19,5,5,0,0,0,25,0,9087,0,true
76,22,14,0,0,0,20,0,9176,0,true
47,8,3,0,0,0,53,0,9034,0,true
52,13,14,0,0,0,117,0,9059,0,true
55,10,4,0,0,0,5987,0,3047,0,true
33,2,4,0,0,0,7795,0,1264,0,true
29,18,19,0,0,0,1864,0,1183,0,true
27,15,17,0,0,0,140,0,1124,0,true
24,9,12,0,0,0,8,0,1191,0,true
20,6,8,0,0,0,149,0,975,0,true
86,23,4,0,0,0,217,0,974,0,true
55,16,15,0,0,0,240,0,1215,0,true
102,27,7,0,0,0,206,0,768,0,true
62,16,10,0,0,0,560,0,655,0,true
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
92,97,85,131,122,117,382,1579,2432,32798,true
89,102,60,128,121,116,223,1215,2273,32392,true
98,105,79,139,132,126,33,64,2465,32862,true
83,98,64,141,135,129,116,1610,2157,30782,true
100,104,89,140,132,126,50,137,2515,32725,true
90,101,65,141,133,127,211,1261,2368,32043,true
83,95,73,129,123,117,98,547,2417,32178,true
89,96,82,121,113,108,224,1527,2144,30516,true
96,102,82,121,113,109,194,322,2611,32500,true
88,97,81,124,116,112,365,1197,2509,31713,true
95,99,82,127,118,114,4,475,2615,32025,true
92,102,86,127,119,116,290,2069,2219,29644,true
100,99,99,128,119,115,118,408,2733,31617,true
98,98,94,127,119,117,404,1010,2623,30654,true
97,105,79,128,120,116,27,506,2760,31111,true
91,99,78,127,121,116,349,1623,2274,29031,true
99,100,97,129,121,117,121,155,2881,30956,true
102,102,96,128,123,117,499,1244,2773,30275,true
80,70,57,98,93,74,2211,651,19108,2534,false
53,48,46,90,82,70,484,234,19203,2524,false
102,94,76,71,66,61,936,303,18172,2231,false
115,108,86,78,74,61,1046,240,20249,2764,false
74,65,56,83,78,66,1812,409,19984,2640,false
103,94,80,54,41,38,1322,126,21571,2638,false
97,87,71,82,77,74,576,256,19408,2384,false
88,78,64,107,106,86,258,174,21829,2812,false
113,100,95,85,80,73,2508,339,21916,2723,false
101,91,76,102,99,93,223,236,21606,2576,false
89,79,64,120,116,110,2016,427,19900,2296,false
105,96,77,89,81,62,1271,221,22877,2797,false
131,122,112,98,93,74,2822,573,22722,2869,false
82,75,65,97,95,80,78,161,22955,2958,false
87,77,61,139,128,111,1730,190,20992,2679,false
89,81,66,119,111,92,343,49,23298,3007,false
89,79,63,96,92,78,2447,189,23439,2868,false
48,41,40,82,62,58,311,97,22987,2910,false
0,0,0,240,243,252,0,31,0,1056,false
0,0,0,240,243,252,0,48,0,1048,false
0,0,0,240,243,252,0,49,0,1007,false
0,0,0,240,243,252,0,10,0,1038,false
0,0,0,240,243,252,0,5,0,1002,false
0,0,0,240,243,252,0,52,0,986,false
0,0,0,240,243,252,0,81,0,921,false
0,0,0,240,243,252,0,28,0,958,false
0,0,0,240,244,253,0,8,0,929,false
0,0,0,240,243,253,0,20,0,938,false
0,0,0,239,243,253,0,48,0,881,false
0,0,0,238,242,253,0,13,0,951,false
0,0,0,237,241,252,0,19,0,900,false
0,0,0,237,241,252,0,42,0,909,false
0,0,0,240,243,253,0,63,0,837,false
0,0,0,241,243,252,0,53,0,856,false
0,0,0,240,243,252,0,2,0,835,false
0,0,0,239,243,252,0,14,0,870,false
20,15,14,113,123,120,343,1,2816,26,true
37,21,17,118,126,125,139,14,2983,40,true
144,120,113,114,123,122,96,8,2720,18,true
18,13,15,126,132,130,208,6,2775,34,true
19,14,16,117,118,120,391,10,3111,28,true
20,15,17,117,123,124,53,8,2828,26,true
21,16,15,127,138,137,164,15,3275,43,true
21,16,18,130,138,138,371,32,3199,58,true
20,15,17,129,138,138,55,66,3220,109,true
21,16,15,129,139,136,311,59,2888,117,true
21,14,14,137,143,142,212,12,3432,121,true
22,17,15,138,146,143,486,26,3374,91,true
23,18,15,155,158,154,52,59,3484,62,true
20,15,14,150,153,149,281,38,3093,53,true
21,16,16,151,161,155,120,35,3604,97,true
24,19,16,158,162,156,388,24,3481,77,true
22,14,16,87,10,21,40,24,3564,73,true
17,14,15,92,15,25,290,20,3191,57,true
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,false
0,0,0,192,175,193,0,3,0,3,false
0,0,0,148,127,155,0,17,0,17,false
0,0,0,130,111,133,0,14,0,17,false
0,0,0,188,169,188,0,9,0,8,false
0,0,0,141,123,144,0,6,0,11,false
0,0,0,144,125,145,0,6,0,14,false
0,0,0,149,129,149,0,3,0,14,false
0,0,0,165,150,165,0,5,0,19,false
0,0,0,144,128,146,0,8,0,22,false
0,0,0,182,161,169,0,12,0,31,false
0,0,0,155,138,150,0,10,0,32,false
0,0,0,176,158,180,0,13,0,18,false
0,0,0,184,164,187,0,12,0,20,false
0,0,0,157,136,159,0,2,0,20,false
133,114,116,152,137,149,10,31,10,51,false
39,42,22,86,101,31,411,179,22430,4065,false
72,77,49,81,90,26,518,217,24306,4380,false
65,72,42,72,75,19,1049,60,23479,4125,false
38,44,27,71,69,17,244,190,24062,4190,false
32,37,22,87,92,29,1467,194,22012,3931,false
33,34,20,76,89,30,290,133,24352,4323,false
24,27,15,100,104,29,1344,213,23356,4144,false
23,21,13,84,95,27,523,163,23829,4160,false
34,35,25,75,78,25,1410,304,21946,3840,false
20,22,11,71,69,28,1033,242,22796,3918,false
28,28,19,56,56,11,882,249,22828,4089,false
35,29,21,64,79,26,1089,361,23885,4279,false
40,38,29,45,47,14,805,160,22023,3929,false
23,23,13,74,83,27,136,62,24021,4341,false
24,24,15,67,73,27,1269,293,23292,4222,false
36,35,25,45,46,15,268,225,23753,4116,false
44,42,33,33,34,16,1244,346,22048,3876,false
43,41,32,73,66,42,228,31,23981,4147,false
92,74,79,144,137,140,237,444,8411,22113,true
105,81,84,145,138,141,556,546,9297,23052,true
121,87,90,145,138,141,584,723,8995,22836,true
157,93,89,145,138,141,374,225,9671,23277,true
98,76,81,144,137,140,186,919,8809,21917,true
195,102,77,146,139,142,211,381,9882,23658,true
203,116,82,145,138,141,505,1500,9314,23417,true
144,85,84,143,136,139,417,127,9465,23531,true
123,77,80,144,136,140,655,827,8659,22590,true
197,119,84,146,137,141,36,117,9501,23414,true
185,99,78,145,138,142,84,526,8743,23116,true
197,115,85,147,139,142,17,307,9518,23721,true
191,108,83,149,139,145,109,231,8852,22885,true
150,100,81,148,138,142,1287,1407,10805,25128,true
140,100,84,147,139,142,908,1518,9760,24403,true
144,99,82,147,138,142,831,562,9974,24566,true
169,106,88,147,140,143,894,1257,8866,23146,true
173,100,83,148,139,143,793,464,10767,25030,true
62,66,32,90,85,68,74,1786,1793,28696,true
55,62,30,82,81,59,19,449,1778,28418,true
76,85,46,79,71,59,68,1433,1725,27263,true
75,84,46,80,72,59,60,1135,1718,27283,true
60,68,29,86,77,60,167,2327,1892,29590,true
60,69,30,83,80,54,175,1989,1893,29272,true
75,86,42,86,76,59,34,823,1858,28767,true
54,66,32,88,87,60,116,2382,1777,26890,true
72,83,39,81,81,52,6,475,1864,28292,true
62,71,33,90,79,61,168,2429,1945,29319,true
60,69,30,86,73,57,84,815,1948,29107,true
57,66,30,81,78,55,171,1819,1774,27500,true
73,79,39,88,77,57,35,820,1913,29927,true
57,60,32,83,73,49,109,2259,1883,29759,true
56,63,33,75,77,45,43,731,1870,29196,true
49,54,28,79,78,51,116,2047,1767,27712,true
62,71,35,75,75,43,31,308,1839,29504,true
59,67,32,74,74,42,82,2480,1849,30192,true
0,0,0,184,189,197,0,77,0,35309,false
0,0,0,184,189,197,0,1333,0,34747,false
0,0,0,184,189,197,0,2071,0,33238,false
0,0,0,183,188,196,0,883,0,33864,false
0,0,0,185,190,198,0,1095,0,32143,false
0,0,0,184,189,197,0,32,0,33896,false
0,0,0,185,190,198,0,636,0,32779,false
0,0,0,185,190,198,0,612,0,33284,false
0,0,0,186,191,199,0,221,0,32558,false
0,0,0,187,192,199,0,1051,0,32233,false
0,0,0,185,190,198,0,665,0,33223,false
0,0,0,184,189,197,0,1582,0,33815,false
0,0,0,185,190,198,0,595,0,32628,false
0,0,0,184,189,197,0,0,0,33815,false
0,0,0,186,191,198,0,277,0,32905,false
0,0,0,184,189,197,0,92,0,33907,false
0,0,0,186,191,197,0,247,0,32658,false
0,0,0,185,190,198,0,81,0,33826,false
0,0,0,190,186,191,0,4408,0,118058,true
0,0,0,190,188,194,0,21198,0,102669,true
0,0,0,189,187,190,0,8234,0,109824,true
0,0,0,189,187,191,0,17506,0,120175,true
0,0,0,188,187,190,0,5135,0,114959,true
0,0,0,187,186,189,0,8204,0,111971,true
0,0,0,191,190,195,0,14345,0,100614,true
0,0,0,190,189,193,0,10949,0,101022,true
0,0,0,188,187,190,0,10133,0,110747,true
0,0,0,188,187,190,0,8509,0,109531,true
0,0,0,191,190,193,0,14530,0,96217,true
0,0,0,187,186,189,0,2593,0,112124,true
0,0,0,189,186,191,0,9799,0,106016,true
0,0,0,189,186,190,0,11134,0,100990,true
0,0,0,188,185,190,0,4313,0,101703,true
0,0,0,188,186,191,0,6070,0,107060,true
0,0,0,191,190,193,0,7037,0,94666,true
0,0,0,188,186,190,0,2368,0,109428,true
0,0,0,7,25,12,0,3,0,11,false
0,0,0,35,31,4,0,0,0,11,false
0,0,0,30,51,42,0,4,0,15,false
0,0,0,35,31,4,0,0,0,11,false
0,0,0,206,220,217,0,4,0,19,false
0,0,0,207,217,216,0,63,0,74,false
0,0,0,35,31,4,0,8,0,11,false
0,0,0,72,108,115,0,54,0,20,false
0,0,0,154,176,178,0,9,0,20,false
0,0,0,168,179,165,0,20,0,40,false
0,0,0,203,211,225,0,0,0,20,false
0,0,0,183,198,199,0,23,0,17,false
0,0,0,109,151,155,0,15,0,35,false
0,0,0,33,30,4,0,4,0,13,false
0,0,0,30,46,24,0,21,0,14,false
0,0,0,52,62,56,0,15,0,28,false
0,0,0,50,77,71,0,24,0,38,false
0,0,0,34,53,36,0,11,0,17,false
200,151,112,160,127,130,292,5,2008,83,false
220,162,115,168,137,138,149,11,2112,88,false
198,144,101,191,157,154,273,12,1735,71,false
155,114,80,184,147,148,50,15,2062,73,false
144,110,79,151,118,126,327,5,2062,66,false
219,164,124,113,88,102,73,2,2135,75,false
177,129,90,130,111,118,272,4,1790,62,false
157,96,73,118,93,105,24,12,2159,63,false
217,164,101,123,104,115,359,4,2149,58,false
202,155,97,160,138,110,140,5,2299,68,false
175,124,82,148,99,91,232,2,1917,60,false
85,67,44,175,153,129,98,6,2201,62,false
134,99,70,98,90,104,232,6,2149,66,false
173,136,109,98,90,105,17,9,2218,71,false
168,126,100,97,90,105,234,6,1915,60,false
32,23,13,94,86,107,30,1,2248,72,false
199,147,105,95,86,107,262,10,2177,70,false
114,86,61,94,85,106,50,2,2198,70,false
56,42,35,90,68,63,1278,0,20987,727,false
55,38,30,91,69,63,1361,36,22233,753,false
