@relation 'dataNotBayes-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11'

@attribute rgbFogoR numeric
@attribute ' rgbFogoG' numeric
@attribute ' rgbFogoB' numeric
@attribute rgbFumacaR numeric
@attribute ' rgbFumacaG' numeric
@attribute ' rgbFumacaB' numeric
@attribute qtdMovimentoFogo numeric
@attribute qtdMovimentoFumaca numeric
@attribute tamanhoFogo numeric
@attribute tamamnhoFumaca numeric
@attribute quantidadeFogo numeric

@data
97,85,27,97,85,27,0,0,0,0,0
99,89,36,99,89,36,0,0,0,0,0
103,90,32,103,90,32,0,0,0,0,0
92,79,24,92,79,24,0,0,0,0,0
150,142,115,26,26,30,3474,971,32834,3871,50
142,135,114,26,26,30,886,323,33034,3897,50
139,130,113,98,90,78,1672,329,31162,3542,50
147,142,120,29,29,33,1328,280,34362,4177,50
63,67,58,240,243,252,0,51,0,1634,75
53,59,50,240,243,252,0,119,0,1593,75
57,63,54,240,243,252,0,114,0,1520,75
61,66,56,240,243,252,0,2,0,1591,75
75,119,45,75,119,45,0,3,0,0,0
76,124,34,214,196,211,0,3,0,3,0
97,150,49,97,150,49,0,0,0,0,0
134,188,79,185,165,189,0,18,0,21,0
175,183,192,184,189,197,0,7,0,52381,0
176,184,193,184,189,197,0,1860,0,51456,0
176,184,193,184,189,197,10,3123,10,49258,0
176,184,193,183,188,196,10,1330,10,50126,0
79,97,58,178,188,206,81,1158,707,33978,25
60,72,51,170,184,203,19,368,727,35114,25
67,72,47,173,185,204,8,194,699,34172,25
65,74,48,168,185,203,151,1220,878,36334,25
41,22,19,74,88,28,438,474,35327,6111,25
36,25,19,64,81,25,841,200,38219,6613,25
48,28,24,47,62,11,1730,228,37057,6339,25
31,22,18,46,60,17,269,102,37950,6511,25
77,88,46,82,81,59,140,2699,2775,43037,25
72,78,36,81,81,53,8,659,2745,42659,25
61,66,34,84,77,63,101,2115,2674,40922,25
53,64,31,84,78,62,96,1553,2649,41106,25
93,96,53,90,99,49,568,2470,3753,49541,50
86,85,51,91,98,51,388,1836,3573,48845,50
91,98,51,89,94,49,41,31,3794,49572,50
84,89,46,85,85,45,166,2394,3407,46451,50
19,14,16,110,120,117,612,2,4889,97,50
52,31,18,111,113,112,45,66,5081,158,50
155,125,118,90,99,98,201,14,4688,83,50
29,19,16,119,130,129,311,58,4770,100,50
90,72,79,144,137,140,345,574,12893,33007,75
121,85,87,145,138,141,855,807,14226,34442,75
122,87,88,144,137,140,949,1168,13842,34175,75
175,96,84,144,137,140,675,485,14901,34927,75
40,7,0,40,7,0,74,0,13419,0,100
50,12,2,40,7,0,146,0,13436,0,100
56,13,5,40,7,0,96,0,13323,0,100
62,14,5,40,7,0,24,0,13460,0,100
