rgbFogoR,rgbFogoG,rgbFogoB,rgbFumacaR,rgbFumacaG,rgbFumacaB,qtdMovimentoFogo,qtdMovimentoFumaca,tamanhoFogo,tamamnhoFumaca,quantidadeFogo
199,203,213,193,192,195,81,1158,707,33978,75
213,214,214,192,191,194,19,368,727,35114,75
214,214,214,192,191,194,8,194,699,34172,75
211,211,211,193,192,194,151,1220,878,36334,75
182,182,170,193,192,194,151,974,850,35146,75
147,145,125,190,190,190,98,1765,976,38099,75
109,111,85,189,189,189,154,2485,1004,37631,75
137,137,112,188,188,188,174,773,1150,38872,75
108,112,72,189,189,189,25,1192,1029,36439,75
141,146,103,188,188,188,88,1286,1238,40158,75
40,7,0,40,7,0,74,0,13419,0,100
10,0,2,40,7,0,146,0,13436,0,100
38,7,7,40,7,0,96,0,13323,0,100
30,4,2,40,7,0,24,0,13460,0,100
17,0,1,44,8,2,1,0,13324,0,100
33,9,10,44,8,2,22,0,13482,0,100
78,16,2,47,9,3,114,0,13210,0,100
48,8,4,53,10,4,30,0,13452,0,100
64,16,12,54,10,5,8215,0,4995,0,100
38,5,6,56,11,4,11006,0,2446,0,100
97,85,27,97,85,27,0,0,0,0,0
99,89,36,99,89,36,0,0,0,0,0
103,90,32,103,90,32,0,0,0,0,0
92,79,24,92,79,24,0,0,0,0,0
86,74,34,86,74,34,0,0,0,0,0
92,77,39,90,94,104,0,1,0,1,0
133,112,58,133,112,58,0,0,0,0,0
140,117,57,75,84,96,0,0,0,1,0
131,109,49,131,109,49,0,0,0,0,0
129,114,53,84,92,105,0,3,0,4,0
96,101,88,143,136,130,568,2470,3753,49541,25
80,91,61,137,131,125,388,1836,3573,48845,25
84,95,67,127,121,116,41,31,3794,49572,25
78,90,62,120,114,109,166,2394,3407,46451,25
103,103,99,121,113,109,100,143,3894,49429,25
87,98,76,121,113,109,245,1934,3652,48385,25
87,98,76,120,112,108,134,818,3760,48611,25
83,91,75,121,113,109,318,2180,3334,46205,25
106,107,104,122,115,111,310,512,4070,49123,25
82,91,75,123,116,114,513,1677,3847,47882,25
59,54,50,71,64,52,3474,971,32834,3871,0
58,53,52,74,72,60,886,323,33034,3897,0
64,59,58,67,57,51,1672,329,31162,3542,0
48,43,42,110,95,78,1328,280,34362,4177,0
63,56,51,85,81,72,2833,504,33995,4046,0
51,45,43,55,49,42,1889,89,36251,4088,0
55,49,46,73,65,54,975,436,33020,3610,0
90,83,69,107,105,84,480,219,36731,4307,0
71,64,52,75,73,60,3737,580,36757,4190,0
76,67,60,64,61,59,332,291,36399,4016,0
63,67,58,240,243,252,0,51,0,1634,0
53,59,50,240,243,252,0,119,0,1593,0
57,63,54,240,243,252,0,114,0,1520,0
61,66,56,240,243,252,0,2,0,1591,0
55,63,53,240,243,252,0,4,0,1516,0
68,71,60,235,238,247,0,106,0,1485,0
61,67,58,240,243,252,0,126,0,1390,0
59,63,52,236,239,249,0,32,0,1453,0
63,70,57,240,243,252,0,39,0,1429,0
67,69,59,233,236,247,0,16,0,1437,0
19,14,16,110,120,117,612,2,4889,97,50
52,31,18,111,113,112,45,66,5081,158,50
155,125,118,90,99,98,201,14,4688,83,50
29,19,16,119,130,129,311,58,4770,100,50
35,21,16,119,128,128,590,3,5278,80,50
17,13,15,88,98,95,123,14,4893,86,50
18,15,16,117,127,127,185,48,5463,128,50
19,14,16,129,140,139,533,34,5426,120,50
18,13,15,127,136,136,33,91,5496,219,50
101,112,27,110,117,115,481,45,4945,165,50
75,119,45,75,119,45,0,3,0,0,0
76,124,34,214,196,211,0,3,0,3,0
97,150,49,97,150,49,0,0,0,0,0
134,188,79,185,165,189,0,18,0,21,0
70,100,41,154,145,150,0,42,0,42,0
76,60,68,156,153,147,2,30,2,51,0
60,89,31,172,168,164,0,8,0,34,0
67,96,31,154,151,145,2,11,0,40,0
126,164,79,172,163,167,0,5,0,39,0
102,132,63,152,144,141,0,10,0,50,0
41,22,19,74,88,28,438,474,35327,6111,0
36,25,19,64,81,25,841,200,38219,6613,0
48,28,24,47,62,11,1730,228,37057,6339,0
31,22,18,46,60,17,269,102,37950,6511,0
30,22,16,44,59,18,2251,304,34806,6035,0
43,38,27,77,90,25,311,75,38261,6586,0
36,33,22,63,76,20,2029,337,36835,6372,0
34,25,19,85,92,29,823,128,37438,6458,0
